Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV191,,5,1,"2,00000000000021","346,843505859375","84,5779418945313","4,71029090881348","1,1435239315033"
Solved,False,DV192,,5,1,"2,99999999999983","355,3125","84,5591201782227","4,79853248596191","1,16435217857361"
Solved,False,DV193,,5,1,"4,00000000000018","351,388916015625","83,6775665283203","4,63935375213623","1,10593795776367"
Solved,False,DV194,,5,1,"5,00000000000017","345,859375","88,2515029907227","4,72579193115234","1,81959450244904"
Solved,False,DV195,,5,"1,99999999999995",0,"354,56396484375","84,8025436401367","4,80991554260254","1,20358288288116"
Solved,False,DV196,,5,2,"0,999999999999941","358,14501953125","85,2000045776367","4,81903600692749","0,783168911933899"
Solved,False,DV197,,5,2,"2,00000000000005","350,298095703125","84,8769073486328","4,72297859191895","0,636893033981323"
Solved,False,DV198,,"4,99999999999999",2,"3,0000000000002","357,98779296875","84,2144622802734","4,8228235244751","0,902823567390442"
Solved,False,DV199,,5,2,"3,99999999999986","354,339111328125","83,8992691040039","4,74829244613647","1,10317003726959"
Solved,False,DV200,,5,2,"5,00000000000017","344,944091796875","87,136474609375","4,71180582046509","1,65270137786865"
Solved,False,DV201,,5,"3,00000000000005",0,"355,25537109375","84,9339294433594","4,78294849395752","1,03250956535339"
Solved,False,DV202,,5,3,"0,99999999999978","359,467041015625","85,5361251831055","4,8325572013855","0,598438799381256"
Solved,False,DV203,,5,3,"1,99999999999994","346,569091796875","84,8436279296875","4,66412687301636","0,703076720237732"
Solved,False,DV204,,5,3,"3,0000000000002","360,62255859375","84,3180541992188","4,82857227325439","0,796251654624939"
Solved,False,DV205,,5,3,"4,00000000000002","356,526123046875","84,0225601196289","4,73110675811768","0,918602049350739"
Solved,False,DV206,,5,3,"4,99999999999985","339,9169921875","87,2404861450195","4,68103885650635","1,56950402259827"
Solved,False,DV207,,5,"3,99999999999988",0,"367,1142578125","86,8083343505859","4,94958543777466","0,348689377307892"
Solved,False,DV208,,5,4,"0,999999999999833","372,266845703125","87,0856094360352","5,01087760925293","-0,0837155133485794"
Solved,False,DV209,,5,4,"1,99999999999984","369,57763671875","86,7296905517578","4,89876317977905","0,100435040891171"
Solved,False,DV210,,5,4,"2,99999999999993","368,573486328125","86,8669052124023","4,96210956573486","0,185040012001991"
Solved,False,DV211,,5,4,"3,99999999999997","368,56103515625","87,1618194580078","4,96013975143433","0,377695500850677"
Solved,False,DV212,,5,4,"4,9999999999999","363,9716796875","87,5586242675781","4,95864963531494","0,941614508628845"
Solved,False,DV213,,5,"5,0000000000002",0,"370,952392578125","85,8937606811523","4,9827709197998","0,71608954668045"
Solved,False,DV214,,5,5,"0,999999999999994","370,074462890625","85,6180267333984","4,95678091049194","0,408253192901611"
Solved,False,DV215,,5,5,"1,99999999999984","359,341552734375","84,796989440918","4,87531185150146","0,538757145404816"
Solved,False,DV216,,5,5,"2,99999999999978","376,130126953125","84,5637969970703","5,01885557174683","0,489391475915909"
Solved,False,DV217,,5,5,"3,99999999999981","372,85302734375","84,0278701782227","4,95878171920776","0,690087258815765"
Out of date,False,DV218,,"4,99999999999999","5,0000000000002","4,9999999999998","355,840576171875","87,2582244873047","4,8893346786499","1,22730815410614"
Solved,False,DV224,,0,"5,00000000000068",0,"385,7177734375","87,4931259155273","5,35544061660767","0,578989923000336"
Solved,False,DV225,,0,"9,99999999999999",0,"395,552978515625","85,8486251831055","5,57048606872559","0,0554333440959454"
Solved,False,DV226,,0,"14,9999999999999",0,"410,9521484375","88,3550338745117","5,9053373336792","-0,510257124900818"
Solved,False,DV227,,0,"20,0000000000001",0,"386,877685546875","92,8640823364258","6,0910758972168","-0,941285014152527"
Solved,False,DV228,,0,"25,0000000000001",0,"445,001708984375","89,1908416748047","6,73536062240601","-1,33994436264038"
Solved,False,DV229,,0,"30,0000000000001",0,"519,80419921875","92,4897155761719","7,32016229629517","-1,99587047100067"
Solved,False,DV230,,0,"34,9999999999999",0,"567,31689453125","91,9806289672852","8,17795562744141","-2,8286771774292"
Solved,False,DV231,,0,"40,0000000000002",0,"648,69140625","92,7118682861328","8,89264011383057","-2,86714959144592"
Solved,False,DV232,,0,"44,9999999999998",0,"516,345947265625","93,8613967895508","9,18799209594727","-2,84357118606567"
Solved,False,DV233,,0,"50,0000000000003",0,"498,601318359375","102,228691101074","8,94290256500244","-1,97367775440216"
Solved,False,DV234,,0,"55,0000000000002",0,"491,92333984375","94,5373153686523","9,49356174468994","-2,54235553741455"
Solved,False,DV235,,0,"59,9999999999997",0,"636,31640625","96,4745635986328","10,3983612060547","-2,78302049636841"
